"","Offense_Type","District","Year","Month","Day_Week","Street","Lat","Long"
"20328","aggravated assault","b3","2017","6","friday","don st","42.28722413","-71.0861742"
"20329","aggravated assault","b3","2017","6","friday","jones ave","42.28664294","-71.0820251"
"20330","residential burglary","a1","2017","6","friday","waltham st","42.34345486","-71.07091946"
"20331","aggravated assault","c11","2017","6","friday","washington st","42.29057504","-71.07165726"
"20332","aggravated assault","b2","2017","6","friday","harold st","42.31944532","-71.08780767"
"20333","aggravated assault","b2","2017","6","friday","harold st","42.31944532","-71.08780767"
"20334","robbery","a1","2017","6","friday","washington st","42.35456406","-71.06147418"
"20335","aggravated assault","d4","2017","6","friday","boylston st","42.35009599","-71.0773211"
"20336","aggravated assault","b3","2017","6","friday","jones ave","42.28664294","-71.0820251"
"20337","aggravated assault","c11","2017","6","thursday","lyndhurst st","42.29290563","-71.06955795"
"20338","aggravated assault","c11","2017","6","thursday","talbot ave","42.2871482","-71.06493039"
"20339","aggravated assault","b2","2017","6","thursday","washington st","42.33185133","-71.08181888"
"20340","aggravated assault","e18","2017","6","thursday","taunton ave","42.26745446","-71.10681551"
"20341","residential burglary","c11","2017","6","thursday","hancock st","42.31223006","-71.06391367"
"20342","aggravated assault","d4","2017","6","wednesday","hemenway st","42.3403294","-71.09155213"
"20343","robbery","a1","2017","6","thursday","washington st","42.35591935","-71.06000539"
"20344","residential burglary","b2","2017","6","thursday","annunciation rd","42.33506218","-71.09316781"
"20345","aggravated assault","b2","2017","6","wednesday","slayton way","42.32177032","-71.09779774"
"20346","aggravated assault","a15","2017","6","wednesday","decatur st","42.37693992","-71.05524264"
"20347","aggravated assault","a7","2017","6","wednesday","leyden st","42.38857015","-71.00246871"
"20348","residential burglary","a7","2017","6","wednesday","bennington st","42.37724639","-71.03259708"
"20349","residential burglary","a7","2017","6","wednesday","brooks st","42.37592657","-71.03222458"
"20350","aggravated assault","c11","2017","6","wednesday","dorchester ave","42.30254239","-71.0595669"
"20351","robbery","b2","2017","6","wednesday","columbus ave","42.32445167","-71.09840707"
"20352","robbery","d4","2017","6","wednesday","edgerly rd","42.34559671","-71.08781041"
"20353","aggravated assault","d4","2017","6","wednesday","edgerly rd","42.34559671","-71.08781041"
"20354","aggravated assault","b2","2017","6","monday","annunciation rd","42.33506218","-71.09316781"
"20355","residential burglary","c11","2017","6","wednesday","jerome st","42.31482241","-71.06524172"
"20356","aggravated assault","b2","2017","6","wednesday","dudley st","42.32872589","-71.08382217"
"20357","robbery","a1","2017","6","wednesday","summer st","42.3538772","-71.05830207"
"20358","robbery","b3","2017","6","tuesday","hannon st","42.28187558","-71.08550538"
"20359","residential burglary","b3","2017","6","tuesday","fairmount st","42.28104853","-71.0720644"
"20360","robbery","b2","2017","6","tuesday","warren st","42.32978737","-71.08324801"
"20361","robbery","b2","2017","6","tuesday","logan st","42.32610373","-71.09042875"
"20362","aggravated assault","d14","2017","6","tuesday","hunnewell ave","42.35212459","-71.16951571"
"20363","aggravated assault","b2","2017","6","tuesday","walnut ave","42.32178241","-71.08534158"
"20364","residential burglary","c11","2017","6","tuesday","lonsdale st","42.29111533","-71.05843629"
"20365","robbery","d4","2017","6","tuesday","berkeley st","42.3460551","-71.07050669"
"20366","residential burglary","c6","2017","6","tuesday","monsignor dennis f o'call","42.32476494","-71.05340359"
"20367","residential burglary","d4","2017","6","monday","park dr","42.34241506","-71.09521114"
"20368","aggravated assault","b2","2017","6","monday","intervale st","42.31017838","-71.07651047"
"20369","aggravated assault","b3","2017","7","wednesday","harvard st","42.29742382","-71.07620502"
"20370","residential burglary","d14","2017","6","monday","gardner st","42.35358822","-71.12689571"
"20371","aggravated assault","b2","2017","6","saturday","jewish war veterans dr","42.29765063","-71.09178006"
"20372","residential burglary","e5","2017","6","monday","washington st","42.29148517","-71.12275618"
"20373","residential burglary","e13","2017","6","thursday","boylston st","42.31761197","-71.10739121"
"20374","aggravated assault","b3","2017","6","monday","hebron st","42.27554043","-71.10480965"
"20375","aggravated assault","a7","2017","6","monday","faywood ave","42.39214603","-71.00893922"
"20376","robbery","a15","2017","6","monday","austin st","42.37479451","-71.06600871"
"20377","aggravated assault","d14","2017","6","monday","brighton ave","42.35329808","-71.13504948"
"20378","residential burglary","c6","2017","6","monday","ocean view dr","42.31928129","-71.03870097"
"20379","robbery","c11","2017","6","monday","dorchester ave","42.2938387","-71.06202501"
"20380","residential burglary","d14","2017","6","monday","undine rd","42.34193963","-71.16627079"
"20381","robbery","a1","2017","6","monday","warrenton st","42.35002128","-71.06595675"
"20382","robbery","a1","2017","6","monday","park st","42.3569695","-71.06249529"
"20383","aggravated assault","e18","2017","6","monday","frazer st","42.26307928","-71.10938536"
"20384","residential burglary","e5","2017","6","sunday","brookway ter","42.29100743","-71.12027829"
"20385","aggravated assault","b3","2017","6","sunday","morton st","42.28240525","-71.08822727"
"20386","aggravated assault","b3","2017","6","sunday","edson st","42.28623708","-71.07768279"
"20387","residential burglary","c11","2017","6","sunday","bowdoin st","42.30648026","-71.06675783"
"20388","robbery","a1","2017","6","sunday","temple pl","42.35478783","-71.06123562"
"20389","residential burglary","c11","2017","6","saturday","plain st","42.28676949","-71.04881536"
"20390","aggravated assault","c11","2017","6","sunday","arcadia st","42.30183841","-71.06127819"
"20391","aggravated assault","b2","2017","6","sunday","calumet st","42.32963903","-71.10230251"
"20392","aggravated assault","c11","2017","6","sunday","arcadia st","42.30183841","-71.06127819"
"20393","robbery","d4","2017","6","sunday","park dr","42.34211308","-71.10143339"
"20394","aggravated assault","b2","2017","6","sunday","annunciation rd","42.33506218","-71.09316781"
"20395","residential burglary","d14","2017","6","saturday","aldie st","42.35875695","-71.13411555"
"20396","residential burglary","d14","2017","6","friday","pratt st","42.35501072","-71.12887911"
"20397","aggravated assault","b3","2017","6","saturday","norwell st","42.30132851","-71.07870873"
"20398","robbery","b3","2017","6","saturday","blue hill ave","42.29012204","-71.08964896"
"20399","residential burglary","d14","2017","6","saturday","gerald rd","42.34086177","-71.16020154"
"20400","residential burglary","e5","2017","6","friday","mosgrove ave","42.29210071","-71.12298629"
"20401","aggravated assault","a1","2017","6","saturday","causeway st","42.3645133","-71.06289532"
"20402","residential burglary","d14","2017","6","friday","gerald rd","42.34086177","-71.16020154"
"20403","robbery","a7","2017","6","friday","trenton st","42.37968456","-71.03428645"
"20404","residential burglary","d14","2017","6","friday","pratt st","42.35501072","-71.12887911"
"20405","robbery","c11","2017","6","saturday","adams st","42.29963709","-71.05851176"
"20406","residential burglary","d14","2017","6","saturday","ashford st","42.35431862","-71.12901674"
"20407","residential burglary","d14","2017","6","saturday","ashford st","42.35431862","-71.12901674"
"20408","aggravated assault","c11","2017","6","friday","van winkle st","42.28250165","-71.0636383"
"20409","residential burglary","c11","2017","6","friday","dix st","42.2952182","-71.06068709"
"20410","aggravated assault","b2","2017","6","thursday","lawrence ave","42.31161123","-71.076256"
"20411","residential burglary","c6","2017","6","friday","e sixth st","42.33314383","-71.03429266"
"20412","aggravated assault","a7","2017","6","friday","saratoga st","42.37628888","-71.03720048"
"20413","robbery","d4","2017","6","friday","boylston st","42.35009599","-71.0773211"
"20414","aggravated assault","b2","2017","6","friday","blue hill ave","42.31656425","-71.07811557"
"20415","aggravated assault","e13","2017","6","friday","perkins st","42.32172072","-71.11131054"
"20416","residential burglary","e13","2017","6","friday","perkins st","42.32172072","-71.11131054"
"20417","residential burglary","b2","2017","6","friday","fayston st","42.31341383","-71.07789593"
"20418","robbery","c6","2017","6","friday","joseph agri st","42.33179689","-71.05191235"
"20419","aggravated assault","c11","2017","6","friday","greenmount st","42.31054308","-71.05958278"
"20420","aggravated assault","d14","2017","6","friday","harvard ave","42.35486542","-71.13259322"
"20421","residential burglary","b3","2017","6","friday","dunlap st","42.29281079","-71.07327594"
"20422","aggravated assault","b2","2017","6","friday","allstate rd","42.32809966","-71.06321676"
"20423","aggravated assault","e5","2017","6","thursday","archdale rd","42.2917221","-71.1196546"
"20424","residential burglary","d14","2017","6","thursday","quint ave","42.3519478","-71.13410791"
"20425","residential burglary","a7","2017","6","friday","brooks st","42.37714065","-71.03389894"
"20426","residential burglary","e13","2017","6","wednesday","brown ter","42.31182397","-71.11351448"
"20427","aggravated assault","d4","2017","6","thursday","boylston st","42.34862382","-71.08277637"
"20428","robbery","b2","2017","6","thursday","wayne st","42.3072423","-71.08551704"
"20429","aggravated assault","b2","2017","6","thursday","wayne st","42.3072423","-71.08551704"
"20430","robbery","c11","2017","6","thursday","alpha rd","42.29581546","-71.06884734"
"20431","robbery","a1","2017","6","thursday","tremont st","42.35428377","-71.06380404"
"20432","robbery","c11","2017","6","thursday","lyndhurst st","42.29290563","-71.06955795"
"20433","aggravated assault","b2","2017","6","thursday","francis st","42.33606304","-71.10782832"
"20434","aggravated assault","e13","2017","6","thursday","saint rose st","42.30486115","-71.11633998"
"20435","residential burglary","a15","2017","6","thursday","salem st","42.37736141","-71.06645921"
"20436","aggravated assault","b3","2017","6","thursday","mclellan st","42.2994619","-71.08360148"
"20437","residential burglary","e13","2017","6","thursday","alveston st","42.310192","-71.11253218"
"20438","aggravated assault","c11","2017","6","wednesday","ashmont st","42.28534033","-71.07118543"
"20439","residential burglary","c11","2017","6","thursday","mount ida rd","42.30480488","-71.06421426"
"20440","aggravated assault","c6","2017","6","wednesday","general william h devine ","42.32857331","-71.05600288"
"20441","residential burglary","e5","2017","6","monday","maplewood st","42.2709103","-71.14844944"
